Landmark,Road,Landmark_road,Lat,Lon
Blue Post Hotel,Thika Highway,Blue Post Hotel Thika Highway,-1.024254,37.066723
Blue Post Hotel,Thikard,Blue Post Hotel Thikard,-1.024254,37.066723
Bomas,Langata Rd,Bomas Langata Rd,-1.342494,36.767013
Bomas,Langata Road,Bomas Langata Road,-1.342494,36.767013
Bomas,Lang'ata Rd,Bomas Lang'ata Rd,-1.342494,36.767013
Bomas,Lang'ata Road,Bomas Lang'ata Road,-1.342494,36.767013
Bomas roundabout,Langata Rd,Bomas roundabout Langata Rd,-1.342494,36.767013
Bomas roundabout,Langata Road,Bomas roundabout Langata Road,-1.342494,36.767013
Bomas roundabout,Lang'ata Rd,Bomas roundabout Lang'ata Rd,-1.342494,36.767013
Bomas roundabout,Lang'ata Road,Bomas roundabout Lang'ata Road,-1.342494,36.767013
,, ,,
,, ,,
,, ,,
,, ,,
Brookhouse,Magadi Rd,Brookhouse Magadi Rd,-1.346412,36.765493
Brookhouse,Magadi Road,Brookhouse Magadi Road,-1.346412,36.765493
Brookside,Waiyaki Way,Brookside Waiyaki Way,-1.260367,36.791804
bunyala roundabout,,bunyala roundabout ,-1.299679,36.824135
Buru junction,Jogoo Rd,Buru junction Jogoo Rd,-1.2882,36.883793
Buru junction,Jogoo Road,Buru junction Jogoo Road,-1.2882,36.883793
buruburu,Jogoo Rd,buruburu Jogoo Rd,-1.2882,36.883793
buruburu,Jogoo Road,buruburu Jogoo Road,-1.2882,36.883793
Buruburu junction,Jogoo Rd,Buruburu junction Jogoo Rd,-1.2882,36.883793
Buruburu junction,Jogoo Road,Buruburu junction Jogoo Road,-1.2882,36.883793
Buruburu stage,Jogoo Rd,Buruburu stage Jogoo Rd,-1.296917,36.876781
Buruburu stage,Jogoo Road,Buruburu stage Jogoo Road,-1.296917,36.876781
Buxton junction,Rongald Ngala Rd,Buxton junction Rongald Ngala Rd,-4.043435,39.66801
Bypass kiambu rd,Kiambu Rd,Bypass kiambu rd Kiambu Rd,-1.216003,36.835363
Bypass kiambu road,Kiambu Road,Bypass kiambu road Kiambu Road,-1.216003,36.835363
Bypass junction,Kiambu Rd,Bypass junction Kiambu Rd,-1.215567,36.835172
Bypass Junction,Thika Rd,Bypass Junction Thika Rd,-1.165672,36.9566774
Bypass junction,Kiambu Road,Bypass junction Kiambu Road,-1.215567,36.835172
Bypass Junction,Thika Road,Bypass Junction Thika Road,-1.165672,36.9566774
Bypass Junction,Thika Superhighway,Bypass Junction Thika Superhighway,-1.165672,36.9566774
Bypass Junction,Thika Super Highway,Bypass Junction Thika Super Highway,-1.165672,36.9566774
Bypass Junction,Thika Highway,Bypass Junction Thika Highway,-1.165672,36.9566774
Bypass Junction,Thikard,Bypass Junction Thikard,-1.165672,36.9566774
Cabanas,Mombasa Rd,Cabanas Mombasa Rd,-1.331118,36.887874
Cabanas,Mombasa Road,Cabanas Mombasa Road,-1.331118,36.887874
Cabanas,Msa Rd,Cabanas Msa Rd,-1.331118,36.887874
Cabanas,Msa Road,Cabanas Msa Road,-1.331118,36.887874
Cabanas overpass,Airport North Rd,Cabanas overpass Airport North Rd,-1.331495,36.888331
Cabanas overpass,North Airport Rd,Cabanas overpass North Airport Rd,-1.331495,36.888331
Cabanas overpass,North Airport Road,Cabanas overpass North Airport Road,-1.331495,36.888331
Caltex,Outer Ring Rd,Caltex Outer Ring Rd,-1.278192,36.882699
Canadian Embassy,Limuru Rd,Canadian Embassy Limuru Rd,-1.241664,36.813565
Canadian Embassy,Limuru Road,Canadian Embassy Limuru Road,-1.241664,36.813565
Capital Center,Mombasa Rd,Capital Center Mombasa Rd,-1.31692,36.83418
Capital Center,Mombasa Road,Capital Center Mombasa Road,-1.31692,36.83418
Capital Center,Msa Rd,Capital Center Msa Rd,-1.31692,36.83418
Capital Center,Msa Road,Capital Center Msa Road,-1.31692,36.83418
Carnivore,Langata Rd,Carnivore Langata Rd,-1.322978,36.802106
Carnivore,Langata Road,Carnivore Langata Road,-1.322978,36.802106
Carnivore,Lang'ata Rd,Carnivore Lang'ata Rd,-1.322978,36.802106
Carnivore,Lang'ata Road,Carnivore Lang'ata Road,-1.322978,36.802106
Castle Hotel Mombasa,Moi Ave,Castle Hotel Mombasa Moi Ave,-4.062326,39.669995
Castle Hotel Mombasa,Moi Avenue,Castle Hotel Mombasa Moi Avenue,-4.062326,39.669995
Catholic University of East Africa,Magadi Rd,Catholic University of East Africa Magadi Rd,-1.3519468,36.7629413
Catholic University of East Africa,Magadi Road,Catholic University of East Africa Magadi Road,-1.3519468,36.7629413
CCK,Waiyaki Way,CCK Waiyaki Way,-1.264053,36.757488
Chaka Argwings,Argwings Kodhek,Chaka Argwings Argwings Kodhek,-1.292998,36.790867
Chaka Place,Chaka Rd,Chaka Place Chaka Rd,-1.292346,36.790761
Chaka Place,Chaka Road,Chaka Place Chaka Road,-1.292346,36.790761
Changamwe roundabout,,Changamwe roundabout ,-4.029632,39.632734
Chepkerio Lusaka,Lusaka Rd,Chepkerio Lusaka Lusaka Rd,-1.303521,36.82904
China Centre,Ngong Rd,China Centre Ngong Rd,-1.298999,36.796926
China Centre,Ngong Road,China Centre Ngong Road,-1.298999,36.796926
